bound_size,question_id,equivalent,counterexample,time_cost,generated_sql,gold_sql,res
2,17,ERROR,NotSupportedError: Not supported feature: OVER,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.CHARTERNUM FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SATSCORES.AVGSCRWRITE > 499 AND SCHOOLS.CHARTERNUM IS NOT NULL ORDER BY SATSCORES.AVGSCRWRITE DESC","SELECT CHARTERNUM, AVGSCRWRITE, RANK() OVER (ORDER BY AVGSCRWRITE DESC) AS WRITINGSCORERANK FROM SCHOOLS AS T1  INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T2.AVGSCRWRITE > 499 AND CHARTERNUM IS NOT NULL",incorrect
3,17,ERROR,NotSupportedError: Not supported feature: OVER,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.CHARTERNUM FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SATSCORES.AVGSCRWRITE > 499 AND SCHOOLS.CHARTERNUM IS NOT NULL ORDER BY SATSCORES.AVGSCRWRITE DESC","SELECT CHARTERNUM, AVGSCRWRITE, RANK() OVER (ORDER BY AVGSCRWRITE DESC) AS WRITINGSCORERANK FROM SCHOOLS AS T1  INNER JOIN SATSCORES AS T2 ON T1.CDSCODE = T2.CDS WHERE T2.AVGSCRWRITE > 499 AND CHARTERNUM IS NOT NULL",incorrect
1,23,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__ENROLLMENT (K-12)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE ABS(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > 30","SELECT T1.SCHOOL, T1.STREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.`ENROLLMENT (K-12)` - T2.`ENROLLMENT (AGES 5-17)` > 30",correct
2,23,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__ENROLLMENT (K-12)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE ABS(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > 30","SELECT T1.SCHOOL, T1.STREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.`ENROLLMENT (K-12)` - T2.`ENROLLMENT (AGES 5-17)` > 30",correct
3,23,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__ENROLLMENT (K-12)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET FROM FRPM INNER JOIN SCHOOLS ON FRPM.CDSCODE = SCHOOLS.CDSCODE WHERE ABS(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > 30","SELECT T1.SCHOOL, T1.STREET FROM SCHOOLS AS T1 INNER JOIN FRPM AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.`ENROLLMENT (K-12)` - T2.`ENROLLMENT (AGES 5-17)` > 30",correct
1,24,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FREE MEAL COUNT (K-12)`,,SELECT SCHOOLS.SCHOOL FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE (FRPM.`FREE MEAL COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)`) > 0.1 AND SATSCORES.NUMGE1500 >= 1500,SELECT T2.`SCHOOL NAME` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE CAST(T2.`FREE MEAL COUNT (K-12)` AS REAL) / T2.`ENROLLMENT (K-12)` > 0.1 AND T1.NUMGE1500 > 0,incorrect
2,24,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FREE MEAL COUNT (K-12)`,,SELECT SCHOOLS.SCHOOL FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE (FRPM.`FREE MEAL COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)`) > 0.1 AND SATSCORES.NUMGE1500 >= 1500,SELECT T2.`SCHOOL NAME` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE CAST(T2.`FREE MEAL COUNT (K-12)` AS REAL) / T2.`ENROLLMENT (K-12)` > 0.1 AND T1.NUMGE1500 > 0,incorrect
3,24,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FREE MEAL COUNT (K-12)`,,SELECT SCHOOLS.SCHOOL FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE (FRPM.`FREE MEAL COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)`) > 0.1 AND SATSCORES.NUMGE1500 >= 1500,SELECT T2.`SCHOOL NAME` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE CAST(T2.`FREE MEAL COUNT (K-12)` AS REAL) / T2.`ENROLLMENT (K-12)` > 0.1 AND T1.NUMGE1500 > 0,incorrect
1,25,ERROR,"NotImplementedError: {'like': ['T2__DISTRICT NAME', {'literal': 'RIVERSIDE%'}]}",,"SELECT SCHOOLS.SCHOOL, SCHOOLS.FUNDINGTYPE FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.COUNTY = 'RIVERSIDE' AND SATSCORES.AVGSCRMATH > 400","SELECT T1.SNAME, T2.`CHARTER FUNDING TYPE` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.`DISTRICT NAME` LIKE 'RIVERSIDE%' GROUP BY T1.SNAME, T2.`CHARTER FUNDING TYPE` HAVING CAST(SUM(T1.AVGSCRMATH) AS REAL) / COUNT(T1.CDS) > 400",incorrect
2,25,ERROR,"NotImplementedError: {'like': ['T2__DISTRICT NAME', {'literal': 'RIVERSIDE%'}]}",,"SELECT SCHOOLS.SCHOOL, SCHOOLS.FUNDINGTYPE FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.COUNTY = 'RIVERSIDE' AND SATSCORES.AVGSCRMATH > 400","SELECT T1.SNAME, T2.`CHARTER FUNDING TYPE` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.`DISTRICT NAME` LIKE 'RIVERSIDE%' GROUP BY T1.SNAME, T2.`CHARTER FUNDING TYPE` HAVING CAST(SUM(T1.AVGSCRMATH) AS REAL) / COUNT(T1.CDS) > 400",incorrect
3,25,ERROR,"NotImplementedError: {'like': ['T2__DISTRICT NAME', {'literal': 'RIVERSIDE%'}]}",,"SELECT SCHOOLS.SCHOOL, SCHOOLS.FUNDINGTYPE FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.COUNTY = 'RIVERSIDE' AND SATSCORES.AVGSCRMATH > 400","SELECT T1.SNAME, T2.`CHARTER FUNDING TYPE` FROM SATSCORES AS T1 INNER JOIN FRPM AS T2 ON T1.CDS = T2.CDSCODE WHERE T2.`DISTRICT NAME` LIKE 'RIVERSIDE%' GROUP BY T1.SNAME, T2.`CHARTER FUNDING TYPE` HAVING CAST(SUM(T1.AVGSCRMATH) AS REAL) / COUNT(T1.CDS) > 400",incorrect
1,26,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FRPM COUNT (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.STATE, SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'MONTEREY' AND SCHOOLS.SOC = '66' AND FRPM.`FRPM COUNT (AGES 5-17)` > 800","SELECT T1.`SCHOOL NAME`, T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.COUNTY = 'MONTEREY' AND T1.`FREE MEAL COUNT (AGES 5-17)` > 800 AND T1.`SCHOOL TYPE` = 'HIGH SCHOOLS (PUBLIC)'",incorrect
2,26,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FRPM COUNT (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.STATE, SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'MONTEREY' AND SCHOOLS.SOC = '66' AND FRPM.`FRPM COUNT (AGES 5-17)` > 800","SELECT T1.`SCHOOL NAME`, T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.COUNTY = 'MONTEREY' AND T1.`FREE MEAL COUNT (AGES 5-17)` > 800 AND T1.`SCHOOL TYPE` = 'HIGH SCHOOLS (PUBLIC)'",incorrect
3,26,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__FRPM COUNT (AGES 5-17)`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.STATE, SCHOOLS.ZIP FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.COUNTY = 'MONTEREY' AND SCHOOLS.SOC = '66' AND FRPM.`FRPM COUNT (AGES 5-17)` > 800","SELECT T1.`SCHOOL NAME`, T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.COUNTY = 'MONTEREY' AND T1.`FREE MEAL COUNT (AGES 5-17)` > 800 AND T1.`SCHOOL TYPE` = 'HIGH SCHOOLS (PUBLIC)'",incorrect
1,27,ERROR,"NotImplementedError: {'strftime': [{'literal': '%Y'}, 'T2__OPENDATE']}",,"SELECT SCHOOLS.SCHOOL, AVG(SATSCORES.AVGSCRWRITE), SCHOOLS.PHONE FROM SCHOOLS LEFT JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.OPENDATE > '1991-01-01' OR SCHOOLS.CLOSEDDATE < '2000-01-01' GROUP BY SCHOOLS.SCHOOL, SCHOOLS.PHONE","SELECT T2.SCHOOL, T1.AVGSCRWRITE, T2.PHONE FROM SCHOOLS AS T2 LEFT JOIN SATSCORES AS T1 ON T2.CDSCODE = T1.CDS WHERE STRFTIME('%Y', T2.OPENDATE) > '1991' OR STRFTIME('%Y', T2.CLOSEDDATE) < '2000'",incorrect
2,27,ERROR,"NotImplementedError: {'strftime': [{'literal': '%Y'}, 'T2__OPENDATE']}",,"SELECT SCHOOLS.SCHOOL, AVG(SATSCORES.AVGSCRWRITE), SCHOOLS.PHONE FROM SCHOOLS LEFT JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.OPENDATE > '1991-01-01' OR SCHOOLS.CLOSEDDATE < '2000-01-01' GROUP BY SCHOOLS.SCHOOL, SCHOOLS.PHONE","SELECT T2.SCHOOL, T1.AVGSCRWRITE, T2.PHONE FROM SCHOOLS AS T2 LEFT JOIN SATSCORES AS T1 ON T2.CDSCODE = T1.CDS WHERE STRFTIME('%Y', T2.OPENDATE) > '1991' OR STRFTIME('%Y', T2.CLOSEDDATE) < '2000'",incorrect
3,27,ERROR,"NotImplementedError: {'strftime': [{'literal': '%Y'}, 'T2__OPENDATE']}",,"SELECT SCHOOLS.SCHOOL, AVG(SATSCORES.AVGSCRWRITE), SCHOOLS.PHONE FROM SCHOOLS LEFT JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS WHERE SCHOOLS.OPENDATE > '1991-01-01' OR SCHOOLS.CLOSEDDATE < '2000-01-01' GROUP BY SCHOOLS.SCHOOL, SCHOOLS.PHONE","SELECT T2.SCHOOL, T1.AVGSCRWRITE, T2.PHONE FROM SCHOOLS AS T2 LEFT JOIN SATSCORES AS T1 ON T2.CDSCODE = T1.CDS WHERE STRFTIME('%Y', T2.OPENDATE) > '1991' OR STRFTIME('%Y', T2.CLOSEDDATE) < '2000'",incorrect
1,28,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER FUNDING TYPE`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.DOCTYPE FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED' AND (FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED')","SELECT T2.SCHOOL, T2.DOC FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.FUNDINGTYPE = 'LOCALLY FUNDED' AND (T1.`ENROLLMENT (K-12)` - T1.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(T3.`ENROLLMENT (K-12)` - T3.`ENROLLMENT (AGES 5-17)`) FROM FRPM AS T3 INNER JOIN SCHOOLS AS T4 ON T3.CDSCODE = T4.CDSCODE WHERE T4.FUNDINGTYPE = 'LOCALLY FUNDED')",incorrect
2,28,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER FUNDING TYPE`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.DOCTYPE FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED' AND (FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED')","SELECT T2.SCHOOL, T2.DOC FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.FUNDINGTYPE = 'LOCALLY FUNDED' AND (T1.`ENROLLMENT (K-12)` - T1.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(T3.`ENROLLMENT (K-12)` - T3.`ENROLLMENT (AGES 5-17)`) FROM FRPM AS T3 INNER JOIN SCHOOLS AS T4 ON T3.CDSCODE = T4.CDSCODE WHERE T4.FUNDINGTYPE = 'LOCALLY FUNDED')",incorrect
3,28,ERROR,UnknownColumnError: UnknownColumnError: UnknownColumnError: unknown column `Unknown attribute FRPM__CHARTER FUNDING TYPE`,,"SELECT SCHOOLS.SCHOOL, SCHOOLS.DOCTYPE FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED' AND (FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(FRPM.`ENROLLMENT (K-12)` - FRPM.`ENROLLMENT (AGES 5-17)`) FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE FRPM.`CHARTER FUNDING TYPE` = 'LOCALLY FUNDED')","SELECT T2.SCHOOL, T2.DOC FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.FUNDINGTYPE = 'LOCALLY FUNDED' AND (T1.`ENROLLMENT (K-12)` - T1.`ENROLLMENT (AGES 5-17)`) > (SELECT AVG(T3.`ENROLLMENT (K-12)` - T3.`ENROLLMENT (AGES 5-17)`) FROM FRPM AS T3 INNER JOIN SCHOOLS AS T4 ON T3.CDSCODE = T4.CDSCODE WHERE T4.FUNDINGTYPE = 'LOCALLY FUNDED')",incorrect
1,31,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse ``,,"SELECT `SCHOOL NAME`, (`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 11,2","SELECT CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)` FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 9, 2",incorrect
2,31,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse ``,,"SELECT `SCHOOL NAME`, (`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 11,2","SELECT CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)` FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 9, 2",incorrect
3,31,ERROR,ParserSyntaxError: ParserSyntaxError: cannot parse ``,,"SELECT `SCHOOL NAME`, (`FREE MEAL COUNT (K-12)` / `ENROLLMENT (K-12)`) AS 'ELIGIBLE FREE RATE' FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 11,2","SELECT CAST(`FREE MEAL COUNT (K-12)` AS REAL) / `ENROLLMENT (K-12)` FROM FRPM ORDER BY `ENROLLMENT (K-12)` DESC LIMIT 9, 2",incorrect
1,32,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5`",,"SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5",SELECT CAST(T1.`FRPM COUNT (K-12)` AS REAL) / T1.`ENROLLMENT (K-12)` FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOC = 66 ORDER BY T1.`FRPM COUNT (K-12)` DESC LIMIT 5,incorrect
2,32,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5`",,"SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5",SELECT CAST(T1.`FRPM COUNT (K-12)` AS REAL) / T1.`ENROLLMENT (K-12)` FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOC = 66 ORDER BY T1.`FRPM COUNT (K-12)` DESC LIMIT 5,incorrect
3,32,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5`",,"SELECT SCHOOLS.SCHOOL, FRPM.`FRPM COUNT (K-12)` / FRPM.`ENROLLMENT (K-12)` AS 'ELIGIBLE FRPM RATE' FROM SCHOOLS INNER JOIN FRPM ON SCHOOLS.CDSCODE = FRPM.CDSCODE WHERE SCHOOLS.SOC = '66' ORDER BY FRPM.`FRPM COUNT (K-12)` DESC LIMIT 5",SELECT CAST(T1.`FRPM COUNT (K-12)` AS REAL) / T1.`ENROLLMENT (K-12)` FROM FRPM AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDSCODE = T2.CDSCODE WHERE T2.SOC = 66 ORDER BY T1.`FRPM COUNT (K-12)` DESC LIMIT 5,incorrect
1,37,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS`",,"SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS","SELECT T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE ORDER BY CAST(T1.NUMGE1500 AS REAL) / T1.NUMTSTTAKR ASC LIMIT 1",incorrect
2,37,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS`",,"SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS","SELECT T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE ORDER BY CAST(T1.NUMGE1500 AS REAL) / T1.NUMTSTTAKR ASC LIMIT 1",incorrect
3,37,ERROR,"ParserSyntaxError: ParserSyntaxError: cannot parse `SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS`",,"SELECT SCHOOLS.STREET, SCHOOLS.CITY, SCHOOLS.ZIP, SCHOOLS.STATE FROM SCHOOLS INNER JOIN ( SELECT SATSCORES.CDS, (SATSCORES.NUMGE1500 / SATSCORES.NUMTSTTAKR) AS 'EXCELLENCE RATE' FROM SATSCORES ORDER BY 'EXCELLENCE RATE' ASC LIMIT 1 ) AS DF1 ON SCHOOLS.CDSCODE = DF1.CDS","SELECT T2.STREET, T2.CITY, T2.STATE, T2.ZIP FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE ORDER BY CAST(T1.NUMGE1500 AS REAL) / T1.NUMTSTTAKR ASC LIMIT 1",incorrect
1,36,True,,0.0897309999999999,"SELECT SCHOOLS.ADMFNAME1, SCHOOLS.ADMLNAME1, SCHOOLS.ADMFNAME2, SCHOOLS.ADMLNAME2, SCHOOLS.ADMFNAME3, SCHOOLS.ADMLNAME3 FROM SCHOOLS INNER JOIN SATSCORES ON SCHOOLS.CDSCODE = SATSCORES.CDS ORDER BY SATSCORES.NUMGE1500 DESC LIMIT 1","SELECT T2.ADMFNAME1, T2.ADMLNAME1, T2.ADMFNAME2, T2.ADMLNAME2, T2.ADMFNAME3, T2.ADMLNAME3 FROM SATSCORES AS T1 INNER JOIN SCHOOLS AS T2 ON T1.CDS = T2.CDSCODE ORDER BY T1.NUMGE1500 DESC LIMIT 1",correct
